processing_time,solution,generation_number,total_value
0.001968861,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",30,1588
0.000970364,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",17,1588
0,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",3,1588
0.013962507,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",146,1588
0.001994848,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",13,1588
0.00698185,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",77,1588
0,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",4,1588
0.003989458,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",42,1588
0.005011082,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",55,1588
0.040904522,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",414,1588
0.00199461,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",20,1588
0.000997543,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",9,1588
0.003988981,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",43,1588
0.000997305,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",6,1588
0.038895845,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",397,1588
0.010970354,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",115,1588
0.014947176,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",156,1588
0,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",1,1588
0.001021862,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",8,1588
0.01994729,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",205,1588
0.002992392,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",28,1588
0.012941837,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",129,1588
0.002024889,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",16,1588
0.001995325,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",15,1588
0.004985094,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",51,1588
0.003988742828369141,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",43,1588
0.0029914379119873047,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",27,1588
0.0009963512420654297,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",11,1588
0.000997304916381836,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",15,1588
0.001995563507080078,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",27,1588
0.007978200912475586,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",81,1588
0.004987239837646484,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",52,1588
0.0019941329956054688,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",18,1588
0.002991914749145508,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",40,1588
0.000997781753540039,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",8,1588
0.005984306335449219,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",59,1588
0.005984067916870117,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",62,1588
0.0029916763305664062,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",28,1588
0.0009970664978027344,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",3,1588
0.03989410400390625,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",414,1588
0.00501251220703125,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",53,1588
0.000997781753540039,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",2,1588
0.002992391586303711,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",36,1588
0.023935317993164062,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",239,1588
0.008974552154541016,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",103,1588
0.0019953250885009766,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",24,1588
0.0009980201721191406,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",8,1588
0.047872066497802734,"['Laptop', 'Headphones', 'Notepad', 'Mints', 'Socks', 'Tissues', 'Phone', 'Baseball Cap']",499,1320
0.004987478256225586,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",52,1588
0.003989219665527344,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",40,1588
0.0019927024841308594,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",19,1588
0.04188871383666992,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",434,1588
0.0049610137939453125,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",46,1588
0.0029914379119873047,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",29,1588
0.008973121643066406,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",95,1588
0.0,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",8,1588
0.016954660415649414,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",160,1588
0.021940946578979492,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",234,1588
0.0,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",3,1588
0.03692436218261719,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",368,1588
0.0029916763305664062,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",36,1588
0.005983829498291016,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",57,1588
0.0009968280792236328,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",7,1588
0.03291177749633789,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",327,1588
0.013962745666503906,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",155,1588
0.0029916763305664062,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",38,1588
0.00795292854309082,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",89,1588
0.003988742828369141,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",32,1588
0.001970052719116211,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",16,1588
0.005984306335449219,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",63,1588
0.0029671192169189453,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",23,1588
0.004014015197753906,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",50,1588
0.001994609832763672,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",26,1588
0.012988567352294922,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",141,1588
0.0,"['Laptop', 'Headphones', 'Mousse', 'Mints', 'Phone', 'Baseball Cap']",2,1588
